date,elapsed seconds,mouse clicks,mouse distance,scroll distance,keystrokes
2019-04-25,48120,3668,0.32,0.02,47316
2019-04-26,43500,2149,0.24,0.02,17563
2019-04-27,64080,4729,0.59,0.05,21280
2019-04-28,45900,3951,0.51,0.04,18806
2019-04-29,42780,3187,0.43,0.02,17354
2019-04-30,53940,2241,0.33,0.02,5456
2019-05-01,39720,1644,0.20,0.02,7944
2019-05-02,40200,6570,0.89,0.04,15524
2019-05-03,38100,1968,0.28,0.02,10573
2019-05-04,41940,4697,0.64,0.04,20290
2019-05-05,9360,738,0.11,0.01,391
2019-05-06,45000,2367,0.29,0.02,11225
2019-05-07,46140,3454,0.46,0.04,21015
2019-05-08,36540,3689,0.38,0.02,22590
2019-05-09,86340,3084,0.36,0.02,23129
2019-05-10,72120,4251,0.62,0.04,14149
2019-05-11,78720,2798,0.30,0.02,24509
2019-05-12,63780,3791,0.22,0.01,40912
2019-05-13,34800,2007,0.29,0.02,12122
2019-05-14,20580,1068,0.18,0.02,1795
2019-05-15,24960,2287,0.06,0.00,28363
2019-05-16,8700,1605,0.10,0.01,15993
2019-05-17,30360,3567,0.48,0.04,19379
2019-05-18,26820,3758,0.49,0.04,18868
2019-05-19,8581,784,0.05,0.00,7849
646F6E7A_00000000_00000001_6E7A6361_696D6963,0,0,0.00,0.00,0
